id,price,accommodates,host_total_listings_count,bedrooms,calculated_host_listings_count,host_is_superhost,neighbour
43620789,20,1,1,1,2,f,Southwark
43892023,20,1,1,1,1,f,Lewisham
43976654,20,2,1,1,1,f,Redbridge
45311637,20,1,1,1,1,f,Croydon
45432031,20,2,1,1,1,f,Haringey
45601961,20,1,1,1,1,t,Lambeth
45709940,20,2,1,1,2,f,Croydon
45840745,20,1,1,1,1,f,Hackney
45891511,20,1,1,1,1,f,Tower Hamlets
46067309,20,1,1,1,1,f,Hackney
46182385,20,2,1,1,1,t,Lewisham
46249778,20,1,1,1,1,f,Brent
46251444,20,1,1,1,1,f,Redbridge
46453928,20,1,1,1,1,f,Barnet
46489637,20,2,1,1,1,f,Tower Hamlets
46509233,20,2,1,1,1,f,Bexley
46557951,20,1,1,1,1,f,Croydon
46946137,20,1,1,1,4,f,Havering
9257162,20,1,1,2,2,f,Greenwich
17871619,20,3,1,2,1,f,Hackney
19435774,20,2,1,2,1,f,Waltham Forest
24005718,20,3,1,2,1,f,Barnet
30309527,20,3,1,2,1,f,Greenwich
30705666,20,2,1,2,1,f,Ealing
31725364,20,3,1,2,1,f,Greenwich
32119352,20,2,1,2,1,f,Redbridge
36590710,20,4,1,2,1,t,Tower Hamlets
37751249,20,1,1,2,1,f,Newham
46775211,20,2,1,2,1,f,Southwark
22611251,20,1,1,3,1,f,Hackney
23050863,20,6,1,3,1,f,Lewisham
16392049,20,1,1,4,1,f,Tower Hamlets
21602618,20,1,1,4,1,f,Islington
10445135,20,2,1,5,1,f,Barnet
24303919,20,1,1,5,1,f,Hackney
495607,20,1,2,1,2,t,Lewisham
742379,20,1,2,1,2,t,Haringey
981654,20,1,2,1,2,t,Haringey
1306561,20,1,2,1,2,t,Wandsworth
3402874,20,1,2,1,2,f,Bromley
5817152,20,2,2,1,1,t,Lewisham
6849249,20,1,2,1,2,t,Waltham Forest
8319139,20,1,2,1,3,f,Southwark
8319711,20,1,2,1,3,f,Southwark
9315607,20,4,2,1,1,f,Lewisham
9911753,20,1,2,1,2,f,Brent
10352128,20,1,2,1,2,t,Lewisham
10704858,20,2,2,1,2,f,Merton
10893215,20,1,2,1,1,f,Hackney
11523060,20,1,2,1,2,t,Sutton
11674730,20,1,2,1,2,f,Southwark
11762107,20,1,2,1,2,f,Southwark
11901864,20,1,2,1,1,f,Lewisham
12335631,20,1,2,1,2,f,Newham
12428638,20,2,2,1,2,f,Hackney
13014990,20,2,2,1,2,f,Tower Hamlets
13148440,20,1,2,1,2,f,Haringey
13594409,20,2,2,1,2,f,Waltham Forest
13882605,20,2,2,1,2,f,Hammersmith and Fulham
13965252,20,2,2,1,2,f,Hackney
14990361,20,1,2,1,2,t,Sutton
15547872,20,1,2,1,2,f,Barnet
15603154,20,1,2,1,2,t,Harrow
15838127,20,1,2,1,2,t,Barnet
16794144,20,1,2,1,2,f,Hackney
16950284,20,2,2,1,2,f,Hillingdon
17552345,20,1,2,1,2,f,Brent
17782316,20,1,2,1,2,t,Harrow
19245353,20,1,2,1,1,f,Southwark
19433612,20,2,2,1,1,f,Haringey
19447850,20,1,2,1,2,f,Tower Hamlets
19464451,20,1,2,1,2,f,Lewisham
19479914,20,1,2,1,2,f,Haringey
19635654,20,1,2,1,2,f,Southwark
19693610,20,1,2,1,1,f,Greenwich
19890863,20,1,2,1,2,f,Barnet
20352682,20,1,2,1,2,f,Waltham Forest
20419999,20,1,2,1,5,f,Kingston upon Thames
20781442,20,1,2,1,1,f,Southwark
21230643,20,1,2,1,2,f,Brent
21362153,20,2,2,1,2,f,Islington
21409763,20,2,2,1,2,t,Lewisham
21689419,20,1,2,1,2,f,Barking and Dagenham
21763513,20,1,2,1,2,f,Tower Hamlets
21954027,20,2,2,1,2,f,Lewisham
22098605,20,1,2,1,2,f,Tower Hamlets
22495513,20,2,2,1,2,t,Greenwich
22550215,20,1,2,1,2,f,Hillingdon
22567214,20,1,2,1,2,t,Wandsworth
22580090,20,1,2,1,2,f,Ealing
22584269,20,1,2,1,3,t,Lambeth
22613369,20,1,2,1,1,f,Islington
22649815,20,2,2,1,2,f,Harrow
23395293,20,1,2,1,1,f,Haringey
23468893,20,2,2,1,2,f,Greenwich
23564214,20,1,2,1,2,f,Southwark
23647853,20,1,2,1,2,f,Bexley
23968237,20,2,2,1,2,f,Waltham Forest
24243089,20,3,2,1,1,f,Barnet
24654034,20,1,2,1,2,t,Bromley
24713712,20,1,2,1,2,f,Lambeth
24806081,20,1,2,1,2,f,Waltham Forest
25193389,20,1,2,1,2,f,Tower Hamlets
25956098,20,1,2,1,2,f,Lambeth
26238939,20,1,2,1,2,f,Waltham Forest
26249196,20,2,2,1,1,f,Hackney
26289861,20,1,2,1,2,f,Merton
26835704,20,1,2,1,2,f,Croydon
